LangCode	ZH_CN	EN	FR	DE	IT	PT	ES	RU	JA	KO	ID	TH	VI	AR	ZH_TW
^打爆病毒有几率产生道具	打爆病毒有几率产生道具	Items may appear when viruses explode	Les virus peuvent laisser des objets derrière eux quand ils explosent	Wenn Viren Platzen, können Elemente erscheinen	Potrebbero comparire degli elementi quando i virus esplodono	Podem aparecer itens quando os vírus explodem	Los artículos pueden aparecer cuando los virus explotan	Из взорвавшихся вирусов могут появиться предметы	ウイルスが爆発するとアイテムが現れることがあります	바이러스가 폭파할 때 아이템이 나타날 수 있습니다.	Virus yang meledak mungkin akan menghasilkan item	อาจจะปรากฏสิ่งของขึ้นมาเมื่อไวรัสระเบิด	Các vật dụng có thể biến mất khi vi rút bị nổ	ﺕﺎﺳﻭﺮﻴﻔﻟﺍ ﺮﺠﻔﻨﺗ ﺎﻣﺪﻨﻋ ﺮﺻﺎﻨﻌﻟﺍ ﺮﻬﻈﺗ ﺪﻗ	打爆病毒有幾率產生道具
^拾取蓝色道具可帮助通关	拾取蓝色道具可帮助通关	Collect the blue items 	Ramassez les objets bleus 	Sammle blaue Elemente ein 	Raccogli gli elementi blu 	Colete os itens azuis 	Recoge los artículos azules 	Собирайте голубые предметы 	青色のアイテムを収集しましょう 	파란 아이템을 수집하세요. 	Kumpulkan item biru 	สะสมของสีฟ้า 	Thu gom các vật dụng màu xanh 	 ﺀﺎﻗﺭﺰﻟﺍ ﺮﺻﺎﻨﻌﻟﺍ ﻊﻤﺟﺍ	拾取藍色道具可幫助通關
^小心！拾取红色道具会增加通关难度	小心！拾取红色道具会增加通关难度	Avoid the red items	Évitez les objets rouges	Geh roten Elementen aus dem Weg	Evita gli elementi rossi	Evite os itens vermelhos	Evita los artículos rojos	Избегайте красных предметов	赤色のアイテムを回避しましょう	빨간 아이템은 피하세요.	Hindari item merah	หลีกเลี่ยงของสีแดง	Tránh các vật dụng màu đỏ	ﺀﺍﺮﻤﺤﻟﺍ ﺮﺻﺎﻨﻌﻟﺍ ﺐﻨﺠﺗ	小心！拾取紅色道具會增加通關難度
^不要被病毒碰到飞船头部	不要被病毒碰到飞船头部	Protect the head of your airship from viruses	Protégez l'avant du vaisseau contre les virus	Halt Deinen Bug von den Viren weg	Proteggi la testa della tua aeronave dai virus	Proteja a cabeça de sua aeronave contra vírus	Protege el cabezal de tu aeronave de virus	Защищайте свой корабль от столкновения с вирусами	自機の前部をウィルスから避けてください	비행선 머리를 바이러스로부터 보호하세요.	Lindungi kepala kapal udaramu dari virus	ปกป้องหัวเรือบินของคุณจากไวรัส	Bảo vệ đầu não khí cầu của bạn khỏi vi rút	ﺕﺎﺳﻭﺮﻴﻔﻟﺍ ﻦﻣ ﺩﺎﻄﻨﻤﻟﺍ ﺱﺃﺭ ِﻢﺣﺍ	不要被病毒碰到飛船頭部
^病毒体型越小，移动速度越快	病毒体型越小，移动速度越快	Smaller viruses move faster	Les virus plus petits se déplacent plus rapidement	Kleinere Viren treiben schneller	I virus più piccoli si muovono più velocemente	Vírus menores se movem mais rapidamente	Los virus más pequeños se desplazan más rápido	Маленькие вирусы двигаются быстрее	ウイルスは小さいほど速く動きます	작은 바이러스는 빨리 움직입니다.	Virus ukuran kecil bergerak lebih cepat	ไวรัสยิ่งเล็กยิ่งเร็ว	Vi rút nhỏ hơn di chuyển nhanh hơn	ﻉﺮﺳﺃ ﻞﻘﺘﻨﺗ ﺮﻐﺻﻷﺍ ﺕﺎﺳﻭﺮﻴﻔﻟﺍ	病毒體型越小，移動速度越快
^病毒的颜色代表消灭它的难度	病毒的颜色代表消灭它的难度	A Virus's color indicates the difficulty of clearing it	Les couleurs des virus indiquent la difficulté pour les éradiquer	Die Farbe eines Virus zeigt, wie schwierig er zu bekämpfen ist	Il colore di un virus indica la difficoltà nell'eliminarlo	Uma cor de vírus indica a dificuldade de eliminá-lo	El color del virus indica la dificultad de eliminarlo	Цвет вируса обозначает сложность его зачистки	ウイルスの色は除去の難しさを示しています	바이러스의 색은 클리어 난이도를 의미합니다.	Warna Virus menunjukkan tingkat kesulitan dalam membasminya	สีของไวรัสแสดงระดับความยากในการทำลาย	Màu của Vi rút thể hiện độ khó tiêu diệt của Vi rút đó	ﻪﺤﺴﻣ ﺔﺑﻮﻌﺻ ﻰﻟﺇ ﺱﻭﺮﻴﻔﻟﺍ ﻥﻮﻟ ﺮﻴﺸﻳ	病毒的顏色代表消滅它的難度
^停止攻击后，病毒移动会变慢	停止攻击后，病毒移动会变慢	Viruses will slow down after stopping the attack	Les virus ralentissent quand ils encaissent une attaque	Wird der Angriff aufgehalten, werden die Viren langsamer	I virus rallentano dopo aver fermato l'attacco	Os vírus vão desacelerar depois de pararem o ataque	Los virus pueden bajar la velocidad después de detener el ataque	Если прекратить атаку, вирусы замедлятся	攻撃を止めるとウイルスの動きが遅くなります	공격을 멈춘 후에는 바이러스 속도가 감소합니다.	Virus akan melambat setelah menghentikan serangan	ไวรัสจะช้าลงหลังหยุดโจมตี	Vi rút sẽ di chuyển chậm hơn sau khi dừng tấn công	ﻡﻮﺠﻬﻟﺍ ﻑﺎﻘﻳﺇ ﺪﻌﺑ ﺕﺎﺳﻭﺮﻴﻔﻟﺍ ﺄﻃﺎﺒﺘﺗ ﻑﻮﺳ	停止攻擊後，病毒移動會變慢
^病毒灭活后可以制作疫苗	病毒灭活后可以制作疫苗	Wash your hands often to avoid germs	Lavez-vous les mains régulièrement pour détruire les microbes	Wasch Dir oft die Hände, damit sie keimfrei bleiben	Lavati le mani spesso per evitare germi	Lave suas mãos com frequência para evitar germes	Lávate las manos para evitar gérmenes	Чаще мойте руки, чтобы убивать микробов	手をこまめに洗って殺菌しましょう	세균이 묻지 않도록 손을 자주 씻으세요.	Sering-seringlah mencuci tangan agar terhindar dari kuman	ล้างมือบ่อย ๆ เพื่อหลีกเลี่ยงเชื้อโรค	Cần thường xuyên rửa tay để tránh mầm bệnh	ﻢﻴﺛﺍﺮﺠﻟﺍ ﺐﻨﺠﺘﻟ ﺮﺧﻵ ﺖﻗﻭ ﻦﻣ ﻚﻳﺪﻳ ﻞﺴﻏﺍ	病毒滅活後可以製作疫苗
^生命在于运动、饮食、休息	生命在于运动、饮食、休息	Avoid getting close to sick people	Évitez de vous approcher des malades	Halt Dich von Kranken fern	Evita di avvicinarti alle persone malate	Evite contato próximo com pessoas doentes	Evita acercarte a gente enferma	Старайтесь не подходить близко к заболевшим	病人には近づかないようにしましょう	아픈 사람 가까이 가지 마세요.	Jangan berdekatan dengan orang sakit	หลีกเลี่ยงการอยู่ใกล้ชิดกับคนป่วย	Tránh đến gần người ốm	ﻦﻴﺑﺎﺼﻤﻟﺍ ﺹﺎﺨﺷﻷﺍ ﻦﻣ ﺏﺍﺮﺘﻗﻻﺍ ﺐﻨﺠﺗ	生命在於運動、飲食、休息
^记得室内通风，呼吸新鲜的空气	记得室内通风，呼吸新鲜的空气	Keep your surroundings clean	Veillez à la propreté de votre environnement	Halt Dein Umfeld sauber	Mantieni le zone circostanti pulite	Mantenha seu ambiente limpo	Conserva tu entorno limpio	Следите за чистотой вокруг вас	周囲を掃除しましょう	주변을 늘 깨끗하게 관리하세요.	Jaga kebersihan lingkungan di sekitarmu	รักษาสภาพแวดล้อมให้สะอาด	Giữ vệ sinh môi trường quanh bạn	ﺍًﻔﻴﻈﻧ ﻚﻄﻴﺤﻣ ِﻖﺑﺃ	記得室內通風，呼吸新鮮的空氣
^天气转冷时，注意保暖	天气转冷时，注意保暖	Get enough sleep to preserve your skin and eyesight	Dormez suffisamment pour une belle peau et une bonne vue	Schlaf genügend, damit Haut und Augenlicht gesund bleiben	Dormi abbastanza per preservare pelle e vista	Durma o suficiente para preservar sua pele e sua visão	Duerme lo suficiente para preservar tu piel y visión	Соблюдайте режим сна, чтобы сохранить здоровье кожи и зрение	十分に睡眠をとって肌と目の健康を保ちましょう	충분히 자면서 피부와 시력을 보호하세요.	Tidur yang cukup untuk memelihara kulit dan penglihatanmu	นอนให้พอเพื่อรักษาผิวและสายตาของคุณ	Ngủ đủ giấc để bảo vệ da và thị lực của bạn	ﻙﺮﺼﺑﻭ ﻚﺗﺮﺸﺑ ﻰﻠﻋ ﻅﺎﻔﺤﻠﻟ ﻡﻮﻨﻟﺍ ﻦﻣ ٍﻑﺎﻛ ﺭﺪﻗ ﻰﻠﻋ ﻞﺼﺣﺍ	天氣轉冷時，注意保暖
^感冒了？多喝温水	感冒了？多喝温水	Got a flu? Avoid cold drinks	Vous avez la grippe ? Évitez les boissons froides	Hast Du eine Grippe? Trink keine kalten Getränke	Hai l'influenza? Evita bevande fredde	Está gripado? Evite bebidas geladas	¿Tienes gripe? Evita las bebidas frías	Простудились? Не пейте холодные напитки	インフルエンザにかかりましたか？冷たい飲み物は控えてください	감기에 걸렸나요? 차가운 음료수를 피하세요.	Sakit flu? Hindari minuman dingin	ป่วยเป็นไข้หวัดใช่ไหม หลีกเลี่ยงเครื่องดื่มเย็น ๆ	Bạn bị cúm? Tránh các loại nước uống lạnh	ﺓﺩﺭﺎﺒﻟﺍ ﺕﺎﺑﻭﺮﺸﻤﻟﺍ ﻝﻭﺎﻨﺗ ﺐﻨﺠﺗ ؟ﺍﺰﻧﻮﻠﻔﻧﻷﺎﺑ ﺖﺒﺻﺃ ﻞﻫ	感冒了？多喝溫水
^接种疫苗可有效降低患病几率	接种疫苗可有效降低患病几率	Practice good hygiene	Respectez les règles d'hygiène	Achte auf ordentliche Hygiene	Mantieni un buon livello di igiene	Siga boas práticas de higiene	Practica la buena higiene	Поддерживайте гигиену	病気の予防に取り組みましょう	올바른 위생 상태를 유지하세요.	Jaga kebersihan	ปฏิบัติตนให้ถูกสุขลักษณะ	Giữ gìn vệ sinh	ﺓﺪﻴﺠﻟﺍ ﺔﻓﺎﻈﻨﻟﺍ ﻰﻠﻋ ﺹﺮﺣﺍ	接種疫苗可有效降低患病幾率
^病毒必须依靠宿主细胞才能活下去	病毒必须依靠宿主细胞才能活下去	Don't share personal items with sick people	Ne prêtez pas vos affaires à des malades	Teile keine persönlichen Dinge mit Kranken	Non condividere i tuoi elementi personali con persone malate	Não compartilhe itens pessoais com pessoas doentes	No compartas elementos personales con personas enfermas	Не пользуйтесь личными вещами заболевших	私物を病人と共有しないようにしましょう	아픈 사람과 개인용품을 함께 쓰지 마세요.	Jangan berbagi barang milik pribadi dengan orang sakit	อย่าใช้ของร่วมกันกับคนป่วย	Không được dùng chung vật dụng cá nhân với người ốm	ﻰﺿﺮﻤﻟﺍ ﺹﺎﺨﺷﻷﺍ ﻊﻣ ﺔﻴﺼﺨﺸﻟﺍ ﺽﺍﺮﻏﻷﺍ ﻙﺭﺎﺸﺗ ﻻ	病毒必須依靠宿主細胞才能活下去
^病毒不是细胞，它只有蛋白质外壳和遗传物质	病毒不是细胞，它只有蛋白质外壳和遗传物质	Eat green vegetables and get plenty of Vitamin D	Mangez des légumes verts et consommez beaucoup de vitamine D	Iss Frischgemüse mit viel Vitamin D	Mangia verdura e alimenti ricchi di vitamina D	Coma verduras e obtenha bastante vitamina D	Come vegetales verdes y consume mucha vitamina D	Ешьте свежие овощи и получайте витамин D	緑の野菜を食べ、ビタミンDを多く摂りましょう	녹색 채소와 비타민 D가 풍부한 식품을 드세요.	Makan sayuran hijau dan dapatkan banyak asupan Vitamin D	กินผักสีเขียวและอาหารที่มีวิตามินดีมาก ๆ	Ăn rau xanh và bổ sung nhiều Vitamin D	ﺩ ﻦﻴﻣﺎﺘﻴﻓ ﻦﻣ ﺪﻳﺰﻤﻟﺍ ﻝﻭﺎﻨﺗﻭ ﺀﺍﺮﻀﺨﻟﺍ ﺕﺍﻭﺮﻀﺨﻟﺍ ﻝﻭﺎﻨﺗ	病毒不是細胞，它只有蛋白質外殼和遺傳物質
^感冒流行期间，尽量少去人群拥挤的地方	感冒流行期间，尽量少去人群拥挤的地方	Keep active and do exercise everyday 	Soyez actif et faites de l'exercice tous les jours 	Bleib aktiv und trainiere jeden Tag 	Fai attività ed esercizi tutti i giorni 	Mantenha-se ativo e exercite-se todos os dias 	Mantente activo y haz ejercicios todos los días 	Двигайтесь, каждый день делайте зарядку 	活発に過ごし、毎日運動しましょう 	활발하게 행동하고 매일 운동하세요. 	Tetap aktif dan berolahraga setiap hari 	ทำตัวกระฉับกระเฉงและออกกำลังกายทุกวัน 	Vận động và tập thể dục hàng ngày 	 ﺍًﻴﻣﻮﻳ ﻦﻳﺭﺎﻤﺘﻟﺍ ﺱﺭﺎﻣﻭ ﻚﻃﺎﺸﻧ ﻰﻠﻋ ﻆﻓﺎﺣ	感冒流行期間，儘量少去人群擁擠的地方
^服用预防药物后，可使感冒的发病率降低50%	服用预防药物后，可使感冒的发病率降低50%	Viruses have to rely on host cells to survive	Les virus ont besoin de cellules hôtes pour survivre	Viren brauchen Wirtszellen zum Überleben	I virus sfruttano le cellule ospitanti per sopravvivere	Os vírus dependem de células hospedeiras para sobreviver	Los virus tienen que contar con las células huésped para sobrevivir	Чтобы выжить, вирусам приходится рассчитывать на хозяйские клетки	ウイルスは宿主細胞に依存して生きています	바이러스는 숙주 세포가 있어야 살 수 있습니다.	Virus harus bergantung pada sel induknya untuk tetap hidup	ไวรัสเจริญเติบโตบนเซลล์โฮสต์	Vi rút sống được là nhờ tế bào chủ	ﺔﻴﺣ ﻰﻘﺒﺘﻟ ﺔﻔﻴﻀﻤﻟﺍ ﺎﻳﻼﺨﻟﺍ ﻰﻠﻋ ﺕﺎﺳﻭﺮﻴﻔﻟﺍ ﺪﻤﺘﻌﺗ	服用預防藥物後，可使感冒的發病率降低50%
^熬夜会导致免疫力降低，损害皮肤和视力	熬夜会导致免疫力降低，损害皮肤和视力	Use alcohol-based hand sanitizers	Utilisez un désinfectant pour les mains à base d'alcool	Nimm alkoholhaltige Handdesinfektionsmittel	Usa disinfettanti per le mani a base di alcol	Use higienizadores de mãos à base de álcool	Usa desinfectantes para manos a base de alcohol	Пользуйтесь антисептиком для рук на основе спирта	アルコールを含んだ手指消毒薬を使いましょう	알코올이 들어 있는 손 세정제를 사용하세요.	Gunakan cairan pembersih tangan berbasis alkohol	ใช้สารฆ่าเชื้อที่มีแอลกอฮอล์เป็นส่วนผสมหลักในการทำความสะอาดมือ	Sử dụng dung dịch rửa tay có gốc cồn	ﻝﻮﺤﻜﻟﺍ ﻦﻣ ﻥﻮﻜﺘﺗ ﻲﺘﻟﺍ ﺕﺍﺮﻬﻄﻤﻟﺍ ﻡﺍﺪﺨﺘﺳﺍ	熬夜會導致免疫力降低，損害皮膚和視力
^少吃糖类可以降低体内炎症水平	少吃糖类可以降低体内炎症水平	Keep a healthy lifestyle	Adoptez un mode de vie sain	Achte auf gesunde Lebensweise	Mantieni uno stile di vita sano	Mantenha um estilo de vida saudável	Lleva un estilo de vida saludable	Ведите здоровый образ жизни	健康的なライフスタイルを維持しましょう	건강한 생활습관을 유지하세요.	Pertahankan gaya hidup sehat	ดำรงรูปแบบการดำเนินชีวิตที่เป็นประโยชน์ต่อร่างกาย	Duy trì lối sống lành mạnh	ﻲﺤﺻ ﺓﺎﻴﺣ ﻂﻤﻧ ﻰﻠﻋ ﻆﻓﺎﺣ	少吃糖類可以降低體內炎症水準
^副武器火力等级不能高于主武器	副武器火力等级不能高于主武器	Upgrade the Main weapon first.	Améliorez l'arme principale en premier.	Rüste zuerst die Hauptwaffe auf.	Aggiorna prima l'arma principale.	Atualize a arma Principal primeiro.	Actualiza el arma principal primero.	Обновите главное оружие первым.	まずメイン武器をアップグレードしてください	메인 무기를 먼저 업그레이드하십시오.	Tingkatkan senjata Utama terlebih dahulu.	อัพเกรดอาวุธหลักก่อน	Nâng cấp vũ khí chính trước.	ﺗﺮﻗﻴﺔ ﺍﻟﺴﻼﺡ ﺍﻟﺮﺋﻴﺴﻲ ﺃﻭﻻ.	副武器火力等級不能高於主武器
^击败#关开启	击败第#关开启	Defeat Level # to unlock	Terminez le niveau #	Level # gewinnen	Supera il livello # per sbloccare	Vença o Nível # para desbloquear	Vencer a Nivel # para desbloquear	Доступно после уровня #	レベル # をクリアしてアンロック	#레벨에 성공하면 잠금해제	Taklukkan Level # u/ membuka	ผ่านระดับ # เพื่อปลดล็อค	Thắng cấp độ # để mở khóa	ﺢﺘﻔﻠﻟ # ﻯﻮﺘﺴﻤﻟﺍ ﻲﻓ ﺰﻓ	擊敗第#關開啟
^击败50关激活选关功能	击败50关激活选关功能	Clear 50 stages to activate selection	Terminez 50 niveaux pour activer la sélection	50 Stufen gelöscht, um Auswahl freizuschalten	Supera 50 livelli per attivare selezione	Concluir 50 fases p/ ativar a seleção	Emilinar 50 etapas para activar la selección	Зачистите 50 уровней, чтобы открыть выбор уровня	50ステージをクリアすると選択が可能になります	50단계를 클리어해 선택을 활성화하세요	Selesaikan 50 stage untuk mengaktifkan pilihan	ผ่าน 50 ด่านเพื่อเปิดตัวเลือก	Hoàn thành 50 đấu trường để kích hoạt lựa chọn	ﺪﻳﺪﺤﺘﻟﺍ ﻂﻴﺸﻨﺘﻟ ﺔﻠﺣﺮﻣ 05 ﺢﺴﻣﺍ	擊敗50關啟動選關功能
^加载中	loading	loading	loading	loading	loading	loading	loading	loading	loading	loading	loading	loading	loading	loading	loading
^加载失败	loading failed	loading failed	loading failed	loading failed	loading failed	loading failed	loading failed	loading failed	loading failed	loading failed	loading failed	loading failed	loading failed	loading failed	loading failed
^请稍候	请稍候	Please wait a sec	Veuillez patienter	Warte ein Weilchen	Un attimo solo	Espere um segundo	Espere un segundo	Подождите секунду	しばらくお待ちください	잠시만 기다려주세요	Mohon tunggu sesaat	โปรดรอสักครู่	Vui lòng đợi giây lát	ﺔﻈﺤﻟ ﺭﺎﻈﺘﻧﻻﺍ ﻰﺟﺭُﻳ	請稍後
^钻石不足	钻石不足	Not enough diamonds	Diamants insuffisants	Zu wenige Diamanten	Diamanti insufficienti	Poucos diamantes	No hay muchos diamantes	Не хватает бриллиантов	ダイアモンド不足	다이아몬드 부족	Berlian tidak mencukupi	มีเพชรไม่พอ	Không đủ kim cương	ﺱﺎﻤﻟﺍ ﻦﻣ ﻲﻔﻜﻳ ﺎﻣ ﺪﺟﻮﻳ ﻻ	鑽石不足
